id,title,slug,category,collection_tags,operator,area,location,map_query,google_maps_url,price_from,duration,difficulty,best_for,vip_headline,short_description,full_description_original_rewrite,highlights_json,included_json,excluded_json,what_to_bring,booking_notes,faq_json,cta_primary,cta_secondary,whatsapp_prefill_template,seo_title,seo_meta_description,h1,image_url_primary,image_source_url,image_search_query,image_search_url,image_alt_text,source_url,source_status,data_confidence,publish_status,notes_for_developers
exp_001,Private-Style Honey & Beekeeping Experience,private-style-honey-and-beekeeping-experience-karpathos,Food & Wine Tastings,"[""Food & Wine Tastings"", ""Karpathos Activities""]",Gergatsoulis Honey,Pigadia,Pigadia,Pigadia Karpathos,https://www.google.com/maps/search/?api=1&query=Pigadia+Karpathos,€10,~45 minutes,Easy,"[""Families"", ""Couples"", ""Slow travel"", ""Local culture"", ""Villa guests""]",A quiet taste of Karpathos through its golden island honey.,A relaxed introduction to Karpathian beekeeping and local honey flavors.,"A gentle, sensory local experience for guests who prefer authenticity over crowds. It works beautifully before lunch, after a beach morning, or as part of a local-taste itinerary.","[""Local honey producer experience"", ""Short and easy for all ages"", ""Strong authentic local flavor"", ""Good add-on to village or food day""]",,,"Comfortable clothes, camera, water, and cash/card if guests want to buy products.","Confirm tasting format, meeting point, capacity, language, and product-purchase options.","[{""q"": ""Is Private-Style Honey & Beekeeping Experience suitable for families?"", ""a"": ""It is best for Families, Couples, Slow travel, Local culture, Villa guests. Final suitability depends on age, fitness, weather, and provider conditions.""}, {""q"": ""Where does Private-Style Honey & Beekeeping Experience take place?"", ""a"": ""The listed area is Pigadia; the listed location or meeting area is Pigadia. Final meeting point is confirmed before booking.""}, {""q"": ""What should I bring for Private-Style Honey & Beekeeping Experience?"", ""a"": ""Comfortable clothes, camera, water, and cash/card if guests want to buy products.""}, {""q"": ""How do I book this activity?"", ""a"": ""Send your dates, group size, where you are staying, and the activity name. Availability and final details are confirmed with the local partner before booking.""}, {""q"": ""Can this be arranged for a private group?"", ""a"": ""Some activities can be arranged privately or semi-privately depending on date, provider capacity, group size, and weather. Ask for private options when sending your request.""}, {""q"": ""Are prices final?"", ""a"": ""Prices are shown as starting prices where available. Final price may vary by date, group size, season, supplier, and selected package.""}]",Check Availability,Save Activity,"Hello, I’m interested in Private-Style Honey & Beekeeping Experience. My dates are [dates], group size is [number], and we are staying in [area]. Can you send availability and options?",Private-Style Honey & Beekeeping Experience in Karpathos | Karpathos Activities,"Arrange Private-Style Honey & Beekeeping Experience in Karpathos. View price from €10, duration ~45 minutes, area Pigadia, what to expect, and request availability.",Private-Style Honey & Beekeeping Experience in Karpathos,,,Gergatsoulis Honey Pigadia Karpathos beekeeping,https://www.google.com/search?tbm=isch&q=Gergatsoulis+Honey+Pigadia+Karpathos+beekeeping,Private-Style Honey & Beekeeping Experience in Karpathos,https://karpathostravel.com/activity-search/,needs exact detail page verification,needs_confirmation,ready_with_provider_confirmation,Use source_url for factual verification. Do not copy supplier wording verbatim. Use image_url_primary only where permission is confirmed by user; otherwise use image_search_url to select/replace with approved assets.
exp_002,Scarpanto Wine Tasting Experience,scarpanto-wine-tasting-experience-karpathos,Food & Wine Tastings,"[""Food & Wine Tastings"", ""Karpathos Activities""]",Scarpanto Family Winery,Afiartis,"Scarpanto Family Winery, Karpathos","Scarpanto Family Winery, Karpathos",https://www.google.com/maps/search/?api=1&query=Scarpanto+Family+Winery%2C+Karpathos,€12,~45 minutes,Easy,"[""Couples"", ""Food lovers"", ""Pre-dinner plans"", ""Villa groups""]",A refined introduction to Karpathian wine and island terroir.,A relaxed winery tasting for guests who want to discover local flavors in an elegant setting.,"A simple and highly attractive pre-dinner or slow-afternoon activity for guests who enjoy wine, culture, and local craftsmanship.","[""Local winery setting"", ""Short and easy experience"", ""Good for couples and small groups"", ""Pairs well with dinner plans""]",,,"Comfortable clothes, camera, and optional cash/card for bottles or products.","Confirm tasting menu, included wines, snacks, maximum group size, and private tasting options.","[{""q"": ""Is Scarpanto Wine Tasting Experience suitable for families?"", ""a"": ""It is best for Couples, Food lovers, Pre-dinner plans, Villa groups. Final suitability depends on age, fitness, weather, and provider conditions.""}, {""q"": ""Where does Scarpanto Wine Tasting Experience take place?"", ""a"": ""The listed area is Afiartis; the listed location or meeting area is Scarpanto Family Winery, Karpathos. Final meeting point is confirmed before booking.""}, {""q"": ""What should I bring for Scarpanto Wine Tasting Experience?"", ""a"": ""Comfortable clothes, camera, and optional cash/card for bottles or products.""}, {""q"": ""How do I book this activity?"", ""a"": ""Send your dates, group size, where you are staying, and the activity name. Availability and final details are confirmed with the local partner before booking.""}, {""q"": ""Can this be arranged for a private group?"", ""a"": ""Some activities can be arranged privately or semi-privately depending on date, provider capacity, group size, and weather. Ask for private options when sending your request.""}, {""q"": ""Are prices final?"", ""a"": ""Prices are shown as starting prices where available. Final price may vary by date, group size, season, supplier, and selected package.""}]",Check Availability,Save Activity,"Hello, I’m interested in Scarpanto Wine Tasting Experience. My dates are [dates], group size is [number], and we are staying in [area]. Can you send availability and options?",Scarpanto Wine Tasting Experience in Karpathos | Karpathos Activities,"Arrange Scarpanto Wine Tasting Experience in Karpathos. View price from €12, duration ~45 minutes, area Afiartis, what to expect, and request availability.",Scarpanto Wine Tasting Experience in Karpathos,,,Scarpanto Family Winery Karpathos wine tasting,https://www.google.com/search?tbm=isch&q=Scarpanto+Family+Winery+Karpathos+wine+tasting,Scarpanto Wine Tasting Experience in Karpathos,https://karpathostravel.com/activity-search/,public listing available; confirm exact tasting details,needs_confirmation,ready_with_provider_confirmation,Use source_url for factual verification. Do not copy supplier wording verbatim. Use image_url_primary only where permission is confirmed by user; otherwise use image_search_url to select/replace with approved assets.
exp_003,Speedboat Snorkeling Adventure,speedboat-snorkeling-adventure-karpathos,Watersports & Diving,"[""Watersports & Diving"", ""Karpathos Activities""]",Karpathos Diving Center,Pigadia,"Karpathos Diving Center, Pigadia","Karpathos Diving Center, Pigadia",https://www.google.com/maps/search/?api=1&query=Karpathos+Diving+Center%2C+Pigadia,€48,~1.5 hours,Easy to moderate,"[""Couples"", ""Families"", ""Friends"", ""Short sea activity""]","A quick, cinematic escape into the blue waters of Karpathos.",A short speedboat snorkeling experience for guests who want sea adventure without a full-day cruise.,"Perfect for guests who want a compact but memorable sea experience. Speedboat movement, clear water, and guided snorkeling make this easy to sell to couples, families, and groups.","[""Short sea adventure"", ""Snorkeling experience"", ""Good for mixed groups"", ""Easy half-day add-on""]",,,"Swimwear, towel, sunscreen, water, sunglasses, and a dry bag.","Confirm swimming ability, equipment, weather policy, minimum age, meeting point, and cancellation terms.","[{""q"": ""Is Speedboat Snorkeling Adventure suitable for families?"", ""a"": ""It is best for Couples, Families, Friends, Short sea activity. Final suitability depends on age, fitness, weather, and provider conditions.""}, {""q"": ""Where does Speedboat Snorkeling Adventure take place?"", ""a"": ""The listed area is Pigadia; the listed location or meeting area is Karpathos Diving Center, Pigadia. Final meeting point is confirmed before booking.""}, {""q"": ""What should I bring for Speedboat Snorkeling Adventure?"", ""a"": ""Swimwear, towel, sunscreen, water, sunglasses, and a dry bag.""}, {""q"": ""How do I book this activity?"", ""a"": ""Send your dates, group size, where you are staying, and the activity name. Availability and final details are confirmed with the local partner before booking.""}, {""q"": ""Can this be arranged for a private group?"", ""a"": ""Some activities can be arranged privately or semi-privately depending on date, provider capacity, group size, and weather. Ask for private options when sending your request.""}, {""q"": ""Are prices final?"", ""a"": ""Prices are shown as starting prices where available. Final price may vary by date, group size, season, supplier, and selected package.""}]",Check Availability,Save Activity,"Hello, I’m interested in Speedboat Snorkeling Adventure. My dates are [dates], group size is [number], and we are staying in [area]. Can you send availability and options?",Speedboat Snorkeling Adventure in Karpathos | Karpathos Activities,"Arrange Speedboat Snorkeling Adventure in Karpathos. View price from €48, duration ~1.5 hours, area Pigadia, what to expect, and request availability.",Speedboat Snorkeling Adventure in Karpathos,,https://www.divingkarpathos.gr/,Karpathos Diving Center speedboat snorkeling Pigadia,https://www.google.com/search?tbm=isch&q=Karpathos+Diving+Center+speedboat+snorkeling+Pigadia,Speedboat Snorkeling Adventure in Karpathos,https://karpathostravel.com/activity-search/,public listing available; confirm exact detail page,needs_confirmation,ready_with_provider_confirmation,Use source_url for factual verification. Do not copy supplier wording verbatim. Use image_url_primary only where permission is confirmed by user; otherwise use image_search_url to select/replace with approved assets.
exp_004,Beginner Windsurfing at Chicken Bay,beginner-windsurfing-at-chicken-bay-karpathos,Adventure & Watersports,"[""Adventure & Watersports"", ""Karpathos Activities""]",ION Club Chicken Bay,Afiartis,"Chicken Bay, near Karpathos Airport","Chicken Bay, near Karpathos Airport",https://www.google.com/maps/search/?api=1&query=Chicken+Bay%2C+near+Karpathos+Airport,€80,~2 hours,Beginner,"[""Active couples"", ""Teenagers"", ""Friends"", ""First-time windsurfers""]",Learn the signature sport of Karpathos in one of the island’s best wind locations.,A beginner-friendly windsurfing introduction for guests who want to try an iconic Karpathos activity.,"Karpathos is internationally known for wind sports. This lesson is a polished and active introduction for first-timers, sporty couples, teenagers, and villa groups.","[""Beginner-friendly windsurfing"", ""Iconic Karpathos activity"", ""Strong social-media appeal"", ""Good for active travelers""]",,,"Swimwear, towel, sunscreen, water, sunglasses strap, and secure swim shoes if recommended.","Confirm lesson duration, instructor ratio, equipment, insurance, language, wind conditions, and minimum age.","[{""q"": ""Is Beginner Windsurfing at Chicken Bay suitable for families?"", ""a"": ""It is best for Active couples, Teenagers, Friends, First-time windsurfers. Final suitability depends on age, fitness, weather, and provider conditions.""}, {""q"": ""Where does Beginner Windsurfing at Chicken Bay take place?"", ""a"": ""The listed area is Afiartis; the listed location or meeting area is Chicken Bay, near Karpathos Airport. Final meeting point is confirmed before booking.""}, {""q"": ""What should I bring for Beginner Windsurfing at Chicken Bay?"", ""a"": ""Swimwear, towel, sunscreen, water, sunglasses strap, and secure swim shoes if recommended.""}, {""q"": ""How do I book this activity?"", ""a"": ""Send your dates, group size, where you are staying, and the activity name. Availability and final details are confirmed with the local partner before booking.""}, {""q"": ""Can this be arranged for a private group?"", ""a"": ""Some activities can be arranged privately or semi-privately depending on date, provider capacity, group size, and weather. Ask for private options when sending your request.""}, {""q"": ""Are prices final?"", ""a"": ""Prices are shown as starting prices where available. Final price may vary by date, group size, season, supplier, and selected package.""}]",Check Availability,Save Activity,"Hello, I’m interested in Beginner Windsurfing at Chicken Bay. My dates are [dates], group size is [number], and we are staying in [area]. Can you send availability and options?",Beginner Windsurfing at Chicken Bay in Karpathos | Karpathos Activities,"Arrange Beginner Windsurfing at Chicken Bay in Karpathos. View price from €80, duration ~2 hours, area Afiartis, what to expect, and request availability.",Beginner Windsurfing at Chicken Bay in Karpathos,,https://www.sunandfun.com/surfen/Center/Griechenland/Karpathos/ION-CLUB-Karpathos-Windsurfing-Center-Lagune-Chicken-Bay/1488,ION Club Chicken Bay Karpathos windsurfing lesson,https://www.google.com/search?tbm=isch&q=ION+Club+Chicken+Bay+Karpathos+windsurfing+lesson,Beginner Windsurfing at Chicken Bay in Karpathos,https://karpathostravel.com/activity-search/,public listing available; confirm operator package,needs_confirmation,ready_with_provider_confirmation,Use source_url for factual verification. Do not copy supplier wording verbatim. Use image_url_primary only where permission is confirmed by user; otherwise use image_search_url to select/replace with approved assets.
exp_005,Beginner Wing Foiling Introduction,beginner-wing-foiling-introduction-karpathos,Adventure & Watersports,"[""Adventure & Watersports"", ""Karpathos Activities""]",Confirm operator,Afiartis,Afiartis / wind sports area,Afiartis / wind sports area Karpathos,https://www.google.com/maps/search/?api=1&query=Afiartis+%2F+wind+sports+area+Karpathos,Confirm,~2 hours,Beginner,"[""Active guests"", ""Wind sport fans"", ""Teenagers"", ""Sporty couples""]",A modern wind-sport experience for guests who want something fresh and energetic.,"An introduction to wing foiling for sporty travelers looking for a newer, dynamic sea activity.","Wing foiling feels modern, athletic, and highly visual. It suits motivated guests who want a more unusual wind-sport experience beyond the standard beach day.","[""Modern wind sport"", ""Good for sporty travelers"", ""Strong video potential"", ""Weather-dependent active experience""]",,,"Swimwear, towel, sunscreen, water, and secure sunglasses if needed.","Confirm operator, exact price, lesson format, equipment, safety requirements, and meeting point.","[{""q"": ""Is Beginner Wing Foiling Introduction suitable for families?"", ""a"": ""It is best for Active guests, Wind sport fans, Teenagers, Sporty couples. Final suitability depends on age, fitness, weather, and provider conditions.""}, {""q"": ""Where does Beginner Wing Foiling Introduction take place?"", ""a"": ""The listed area is Afiartis; the listed location or meeting area is Afiartis / wind sports area. Final meeting point is confirmed before booking.""}, {""q"": ""What should I bring for Beginner Wing Foiling Introduction?"", ""a"": ""Swimwear, towel, sunscreen, water, and secure sunglasses if needed.""}, {""q"": ""How do I book this activity?"", ""a"": ""Send your dates, group size, where you are staying, and the activity name. Availability and final details are confirmed with the local partner before booking.""}, {""q"": ""Can this be arranged for a private group?"", ""a"": ""Some activities can be arranged privately or semi-privately depending on date, provider capacity, group size, and weather. Ask for private options when sending your request.""}, {""q"": ""Are prices final?"", ""a"": ""Prices are shown as starting prices where available. Final price may vary by date, group size, season, supplier, and selected package.""}]",Check Availability,Save Activity,"Hello, I’m interested in Beginner Wing Foiling Introduction. My dates are [dates], group size is [number], and we are staying in [area]. Can you send availability and options?",Beginner Wing Foiling Introduction in Karpathos | Karpathos Activities,"Arrange Beginner Wing Foiling Introduction in Karpathos. View price from Confirm, duration ~2 hours, area Afiartis, what to expect, and request availability.",Beginner Wing Foiling Introduction in Karpathos,,,Afiartis Karpathos wing foiling lesson,https://www.google.com/search?tbm=isch&q=Afiartis+Karpathos+wing+foiling+lesson,Beginner Wing Foiling Introduction in Karpathos,https://karpathostravel.com/activity-search/,needs operator confirmation,needs_confirmation,hold_until_confirmed,Use source_url for factual verification. Do not copy supplier wording verbatim. Use image_url_primary only where permission is confirmed by user; otherwise use image_search_url to select/replace with approved assets.
exp_006,Introductory Scuba Diving for Beginners,introductory-scuba-diving-for-beginners-karpathos,Watersports & Diving,"[""Watersports & Diving"", ""Karpathos Activities""]",Karpathos Diving Center,Pigadia,"Karpathos Diving Center, Pigadia","Karpathos Diving Center, Pigadia",https://www.google.com/maps/search/?api=1&query=Karpathos+Diving+Center%2C+Pigadia,Confirm,~2 hours / optional second dive,Beginner,"[""First-time divers"", ""Couples"", ""Families with older children"", ""Bucket-list guests""]",A first underwater experience in the clear blue world of Karpathos.,A beginner scuba experience for guests who want to discover the underwater side of the island with professional support.,"A strong bucket-list activity for guests who have never tried diving. Best positioned as safe, guided, and memorable for couples and active families.","[""Beginner-friendly scuba option"", ""Bucket-list appeal"", ""Memorable underwater experience"", ""Professional dive setting""]",,,"Swimwear, towel, sunscreen, water, and any required medical/certification forms.","Confirm medical requirements, minimum age, equipment, price, duration, and second-dive option.","[{""q"": ""Is Introductory Scuba Diving for Beginners suitable for families?"", ""a"": ""It is best for First-time divers, Couples, Families with older children, Bucket-list guests. Final suitability depends on age, fitness, weather, and provider conditions.""}, {""q"": ""Where does Introductory Scuba Diving for Beginners take place?"", ""a"": ""The listed area is Pigadia; the listed location or meeting area is Karpathos Diving Center, Pigadia. Final meeting point is confirmed before booking.""}, {""q"": ""What should I bring for Introductory Scuba Diving for Beginners?"", ""a"": ""Swimwear, towel, sunscreen, water, and any required medical/certification forms.""}, {""q"": ""How do I book this activity?"", ""a"": ""Send your dates, group size, where you are staying, and the activity name. Availability and final details are confirmed with the local partner before booking.""}, {""q"": ""Can this be arranged for a private group?"", ""a"": ""Some activities can be arranged privately or semi-privately depending on date, provider capacity, group size, and weather. Ask for private options when sending your request.""}, {""q"": ""Are prices final?"", ""a"": ""Prices are shown as starting prices where available. Final price may vary by date, group size, season, supplier, and selected package.""}]",Check Availability,Save Activity,"Hello, I’m interested in Introductory Scuba Diving for Beginners. My dates are [dates], group size is [number], and we are staying in [area]. Can you send availability and options?",Introductory Scuba Diving for Beginners in Karpathos | Karpathos Activities,"Arrange Introductory Scuba Diving for Beginners in Karpathos. View price from Confirm, duration ~2 hours / optional second dive, area Pigadia, what to expect, and request availability.",Introductory Scuba Diving for Beginners in Karpathos,,https://www.divingkarpathos.gr/,Karpathos Diving Center beginner scuba diving Pigadia,https://www.google.com/search?tbm=isch&q=Karpathos+Diving+Center+beginner+scuba+diving+Pigadia,Introductory Scuba Diving for Beginners in Karpathos,https://www.divingkarpathos.gr/,official dive center site confirms PADI courses and guided diving,verified,hold_until_confirmed,Use source_url for factual verification. Do not copy supplier wording verbatim. Use image_url_primary only where permission is confirmed by user; otherwise use image_search_url to select/replace with approved assets.
exp_007,Advanced Scuba Diving Session,advanced-scuba-diving-session-karpathos,Watersports & Diving,"[""Watersports & Diving"", ""Karpathos Activities""]",Karpathos Diving Center,Pigadia,"Karpathos Diving Center, Pigadia","Karpathos Diving Center, Pigadia",https://www.google.com/maps/search/?api=1&query=Karpathos+Diving+Center%2C+Pigadia,€60,Confirm session duration,Advanced / certified,"[""Certified divers"", ""Active couples"", ""Repeat visitors""]",A refined dive experience for certified guests seeking Karpathos beneath the surface.,A scuba session for certified divers who want to explore local underwater sites.,A specialized product for guests who already dive and want a serious sea experience during their Karpathos stay.,"[""For certified divers"", ""Adventure positioning"", ""Good repeat-visitor product"", ""Can fit multi-day active itineraries""]",,,"Certification card, logbook if needed, swimwear, towel, water, and sunscreen.","Confirm certification level, dive site, equipment, insurance, duration, and inclusions.","[{""q"": ""Is Advanced Scuba Diving Session suitable for families?"", ""a"": ""It is best for Certified divers, Active couples, Repeat visitors. Final suitability depends on age, fitness, weather, and provider conditions.""}, {""q"": ""Where does Advanced Scuba Diving Session take place?"", ""a"": ""The listed area is Pigadia; the listed location or meeting area is Karpathos Diving Center, Pigadia. Final meeting point is confirmed before booking.""}, {""q"": ""What should I bring for Advanced Scuba Diving Session?"", ""a"": ""Certification card, logbook if needed, swimwear, towel, water, and sunscreen.""}, {""q"": ""How do I book this activity?"", ""a"": ""Send your dates, group size, where you are staying, and the activity name. Availability and final details are confirmed with the local partner before booking.""}, {""q"": ""Can this be arranged for a private group?"", ""a"": ""Some activities can be arranged privately or semi-privately depending on date, provider capacity, group size, and weather. Ask for private options when sending your request.""}, {""q"": ""Are prices final?"", ""a"": ""Prices are shown as starting prices where available. Final price may vary by date, group size, season, supplier, and selected package.""}]",Check Availability,Save Activity,"Hello, I’m interested in Advanced Scuba Diving Session. My dates are [dates], group size is [number], and we are staying in [area]. Can you send availability and options?",Advanced Scuba Diving Session in Karpathos | Karpathos Activities,"Arrange Advanced Scuba Diving Session in Karpathos. View price from €60, duration Confirm session duration, area Pigadia, what to expect, and request availability.",Advanced Scuba Diving Session in Karpathos,,https://www.divingkarpathos.gr/,Karpathos Diving Center certified diving Karpathos,https://www.google.com/search?tbm=isch&q=Karpathos+Diving+Center+certified+diving+Karpathos,Advanced Scuba Diving Session in Karpathos,https://www.divingkarpathos.gr/,official dive center site confirms guided diving,verified,ready_with_provider_confirmation,Use source_url for factual verification. Do not copy supplier wording verbatim. Use image_url_primary only where permission is confirmed by user; otherwise use image_search_url to select/replace with approved assets.
exp_008,Advanced Scuba Diving Package,advanced-scuba-diving-package-karpathos,Watersports & Diving,"[""Watersports & Diving"", ""Karpathos Activities""]",Karpathos Diving Center,Pigadia,"Karpathos Diving Center, Pigadia","Karpathos Diving Center, Pigadia",https://www.google.com/maps/search/?api=1&query=Karpathos+Diving+Center%2C+Pigadia,€300,Package / confirm schedule,Advanced / certified,"[""Certified divers"", ""Adventure travelers"", ""Premium active guests""]",A multi-dive Karpathos escape for serious underwater explorers.,A scuba package for certified divers who want a fuller diving experience rather than a single session.,A higher-ticket product for travelers who plan around activity and adventure. It should be sold with clear certification and schedule requirements.,"[""Higher-ticket product"", ""Multi-dive potential"", ""Strong fit for certified divers"", ""Premium adventure positioning""]",,,"Certification card, logbook if needed, swimwear, towel, sunscreen, and water.","Confirm number of dives, dates, equipment, certification requirements, cancellation policy, and flexibility.","[{""q"": ""Is Advanced Scuba Diving Package suitable for families?"", ""a"": ""It is best for Certified divers, Adventure travelers, Premium active guests. Final suitability depends on age, fitness, weather, and provider conditions.""}, {""q"": ""Where does Advanced Scuba Diving Package take place?"", ""a"": ""The listed area is Pigadia; the listed location or meeting area is Karpathos Diving Center, Pigadia. Final meeting point is confirmed before booking.""}, {""q"": ""What should I bring for Advanced Scuba Diving Package?"", ""a"": ""Certification card, logbook if needed, swimwear, towel, sunscreen, and water.""}, {""q"": ""How do I book this activity?"", ""a"": ""Send your dates, group size, where you are staying, and the activity name. Availability and final details are confirmed with the local partner before booking.""}, {""q"": ""Can this be arranged for a private group?"", ""a"": ""Some activities can be arranged privately or semi-privately depending on date, provider capacity, group size, and weather. Ask for private options when sending your request.""}, {""q"": ""Are prices final?"", ""a"": ""Prices are shown as starting prices where available. Final price may vary by date, group size, season, supplier, and selected package.""}]",Check Availability,Save Activity,"Hello, I’m interested in Advanced Scuba Diving Package. My dates are [dates], group size is [number], and we are staying in [area]. Can you send availability and options?",Advanced Scuba Diving Package in Karpathos | Karpathos Activities,"Arrange Advanced Scuba Diving Package in Karpathos. View price from €300, duration Package / confirm schedule, area Pigadia, what to expect, and request availability.",Advanced Scuba Diving Package in Karpathos,,https://www.divingkarpathos.gr/,Karpathos Diving Center diving package Karpathos,https://www.google.com/search?tbm=isch&q=Karpathos+Diving+Center+diving+package+Karpathos,Advanced Scuba Diving Package in Karpathos,https://www.divingkarpathos.gr/,official dive center site confirms courses and guided diving; package details need confirmation,verified,ready_with_provider_confirmation,Use source_url for factual verification. Do not copy supplier wording verbatim. Use image_url_primary only where permission is confirmed by user; otherwise use image_search_url to select/replace with approved assets.
exp_009,Ancient Greek Pebble Stones Workshop,ancient-greek-pebble-stones-workshop-karpathos,Workshops & Local Craft,"[""Workshops & Local Craft"", ""Karpathos Activities""]",Art and Walk,Volada / Pini,"Pini, Volada","Pini, Volada Karpathos",https://www.google.com/maps/search/?api=1&query=Pini%2C+Volada+Karpathos,€48,~2 hours,Beginner-friendly,"[""Families"", ""Creative guests"", ""Couples"", ""Windy or cloudy days""]","A slow, handmade workshop inspired by ancient Greek craft.",A creative pebble-stone workshop where guests make a personal piece inspired by Greek decorative art.,"A calm hands-on experience away from the beach. It suits families, couples, and villa guests who enjoy craft, local materials, and a slower travel rhythm.","[""Creative local workshop"", ""Good souvenir value"", ""Beginner-friendly"", ""Excellent non-beach activity""]",,,Comfortable clothes and ideas for a simple design.,"Confirm drying/collection time, transport options, language, and delivery to accommodation.","[{""q"": ""Is Ancient Greek Pebble Stones Workshop suitable for families?"", ""a"": ""It is best for Families, Creative guests, Couples, Windy or cloudy days. Final suitability depends on age, fitness, weather, and provider conditions.""}, {""q"": ""Where does Ancient Greek Pebble Stones Workshop take place?"", ""a"": ""The listed area is Volada / Pini; the listed location or meeting area is Pini, Volada. Final meeting point is confirmed before booking.""}, {""q"": ""What should I bring for Ancient Greek Pebble Stones Workshop?"", ""a"": ""Comfortable clothes and ideas for a simple design.""}, {""q"": ""How do I book this activity?"", ""a"": ""Send your dates, group size, where you are staying, and the activity name. Availability and final details are confirmed with the local partner before booking.""}, {""q"": ""Can this be arranged for a private group?"", ""a"": ""Some activities can be arranged privately or semi-privately depending on date, provider capacity, group size, and weather. Ask for private options when sending your request.""}, {""q"": ""Are prices final?"", ""a"": ""Prices are shown as starting prices where available. Final price may vary by date, group size, season, supplier, and selected package.""}]",Check Availability,Save Activity,"Hello, I’m interested in Ancient Greek Pebble Stones Workshop. My dates are [dates], group size is [number], and we are staying in [area]. Can you send availability and options?",Ancient Greek Pebble Stones Workshop in Karpathos | Karpathos Activities,"Arrange Ancient Greek Pebble Stones Workshop in Karpathos. View price from €48, duration ~2 hours, area Volada / Pini, what to expect, and request availability.",Ancient Greek Pebble Stones Workshop in Karpathos,https://i0.wp.com/artandwalk.com/wp-content/uploads/2023/02/mosaic-art-and-walk2.jpg?resize=1280%2C934&ssl=1,https://artandwalk.com/tour/creative-workshop-mosaic/,Art and Walk Karpathos pebble stones workshop,https://www.google.com/search?tbm=isch&q=Art+and+Walk+Karpathos+pebble+stones+workshop,Ancient Greek Pebble Stones Workshop in Karpathos,https://artandwalk.com/,public Art and Walk workshop category; details to verify,needs_confirmation,ready_with_provider_confirmation,Use source_url for factual verification. Do not copy supplier wording verbatim. Use image_url_primary only where permission is confirmed by user; otherwise use image_search_url to select/replace with approved assets.
exp_010,Botanical Clay Atelier,botanical-clay-atelier-karpathos,Workshops & Local Craft,"[""Workshops & Local Craft"", ""Karpathos Activities""]",Art and Walk,Volada / Pini,"Pini, Volada","Pini, Volada Karpathos",https://www.google.com/maps/search/?api=1&query=Pini%2C+Volada+Karpathos,€48,~2 hours / confirm,Beginner-friendly,"[""Families"", ""Couples"", ""Creative travelers"", ""Villa guests""]",A delicate clay workshop shaped by the herbs and textures of Karpathos.,A botanical clay workshop where guests create a handmade piece inspired by local plants and textures.,"A soft, aesthetic, slow-luxury activity for guests who want something elegant, creative, and non-physical.","[""Aesthetic and photogenic"", ""Strong family/couple appeal"", ""Calm creative atmosphere"", ""Good for windy or hot days""]",,,Comfortable clothes; avoid delicate fabrics if using clay.,"Confirm duration, pickup options, drying time, and delivery/collection arrangements.","[{""q"": ""Is Botanical Clay Atelier suitable for families?"", ""a"": ""It is best for Families, Couples, Creative travelers, Villa guests. Final suitability depends on age, fitness, weather, and provider conditions.""}, {""q"": ""Where does Botanical Clay Atelier take place?"", ""a"": ""The listed area is Volada / Pini; the listed location or meeting area is Pini, Volada. Final meeting point is confirmed before booking.""}, {""q"": ""What should I bring for Botanical Clay Atelier?"", ""a"": ""Comfortable clothes; avoid delicate fabrics if using clay.""}, {""q"": ""How do I book this activity?"", ""a"": ""Send your dates, group size, where you are staying, and the activity name. Availability and final details are confirmed with the local partner before booking.""}, {""q"": ""Can this be arranged for a private group?"", ""a"": ""Some activities can be arranged privately or semi-privately depending on date, provider capacity, group size, and weather. Ask for private options when sending your request.""}, {""q"": ""Are prices final?"", ""a"": ""Prices are shown as starting prices where available. Final price may vary by date, group size, season, supplier, and selected package.""}]",Check Availability,Save Activity,"Hello, I’m interested in Botanical Clay Atelier. My dates are [dates], group size is [number], and we are staying in [area]. Can you send availability and options?",Botanical Clay Atelier in Karpathos | Karpathos Activities,"Arrange Botanical Clay Atelier in Karpathos. View price from €48, duration ~2 hours / confirm, area Volada / Pini, what to expect, and request availability.",Botanical Clay Atelier in Karpathos,,https://artandwalk.com/,Art and Walk Karpathos botanical clay workshop,https://www.google.com/search?tbm=isch&q=Art+and+Walk+Karpathos+botanical+clay+workshop,Botanical Clay Atelier in Karpathos,https://artandwalk.com/,public Art and Walk workshop category; details to verify,needs_confirmation,ready_with_provider_confirmation,Use source_url for factual verification. Do not copy supplier wording verbatim. Use image_url_primary only where permission is confirmed by user; otherwise use image_search_url to select/replace with approved assets.
