id,title,category,operator,area,price_from,duration,difficulty,short_description,image_url_primary,image_search_url,source_url,data_confidence,publish_status
exp_001,Private-Style Honey & Beekeeping Experience,Food & Wine Tastings,Gergatsoulis Honey,Pigadia,€10,~45 minutes,Easy,A relaxed introduction to Karpathian beekeeping and local honey flavors.,,https://www.google.com/search?tbm=isch&q=Gergatsoulis+Honey+Pigadia+Karpathos+beekeeping,https://karpathostravel.com/activity-search/,needs_confirmation,ready_with_provider_confirmation
exp_002,Scarpanto Wine Tasting Experience,Food & Wine Tastings,Scarpanto Family Winery,Afiartis,€12,~45 minutes,Easy,A relaxed winery tasting for guests who want to discover local flavors in an elegant setting.,,https://www.google.com/search?tbm=isch&q=Scarpanto+Family+Winery+Karpathos+wine+tasting,https://karpathostravel.com/activity-search/,needs_confirmation,ready_with_provider_confirmation
exp_003,Speedboat Snorkeling Adventure,Watersports & Diving,Karpathos Diving Center,Pigadia,€48,~1.5 hours,Easy to moderate,A short speedboat snorkeling experience for guests who want sea adventure without a full-day cruise.,,https://www.google.com/search?tbm=isch&q=Karpathos+Diving+Center+speedboat+snorkeling+Pigadia,https://karpathostravel.com/activity-search/,needs_confirmation,ready_with_provider_confirmation
exp_004,Beginner Windsurfing at Chicken Bay,Adventure & Watersports,ION Club Chicken Bay,Afiartis,€80,~2 hours,Beginner,A beginner-friendly windsurfing introduction for guests who want to try an iconic Karpathos activity.,,https://www.google.com/search?tbm=isch&q=ION+Club+Chicken+Bay+Karpathos+windsurfing+lesson,https://karpathostravel.com/activity-search/,needs_confirmation,ready_with_provider_confirmation
exp_005,Beginner Wing Foiling Introduction,Adventure & Watersports,Confirm operator,Afiartis,Confirm,~2 hours,Beginner,"An introduction to wing foiling for sporty travelers looking for a newer, dynamic sea activity.",,https://www.google.com/search?tbm=isch&q=Afiartis+Karpathos+wing+foiling+lesson,https://karpathostravel.com/activity-search/,needs_confirmation,hold_until_confirmed
exp_006,Introductory Scuba Diving for Beginners,Watersports & Diving,Karpathos Diving Center,Pigadia,Confirm,~2 hours / optional second dive,Beginner,A beginner scuba experience for guests who want to discover the underwater side of the island with professional support.,,https://www.google.com/search?tbm=isch&q=Karpathos+Diving+Center+beginner+scuba+diving+Pigadia,https://www.divingkarpathos.gr/,verified,hold_until_confirmed
exp_007,Advanced Scuba Diving Session,Watersports & Diving,Karpathos Diving Center,Pigadia,€60,Confirm session duration,Advanced / certified,A scuba session for certified divers who want to explore local underwater sites.,,https://www.google.com/search?tbm=isch&q=Karpathos+Diving+Center+certified+diving+Karpathos,https://www.divingkarpathos.gr/,verified,ready_with_provider_confirmation
exp_008,Advanced Scuba Diving Package,Watersports & Diving,Karpathos Diving Center,Pigadia,€300,Package / confirm schedule,Advanced / certified,A scuba package for certified divers who want a fuller diving experience rather than a single session.,,https://www.google.com/search?tbm=isch&q=Karpathos+Diving+Center+diving+package+Karpathos,https://www.divingkarpathos.gr/,verified,ready_with_provider_confirmation
exp_009,Ancient Greek Pebble Stones Workshop,Workshops & Local Craft,Art and Walk,Volada / Pini,€48,~2 hours,Beginner-friendly,A creative pebble-stone workshop where guests make a personal piece inspired by Greek decorative art.,https://i0.wp.com/artandwalk.com/wp-content/uploads/2023/02/mosaic-art-and-walk2.jpg?resize=1280%2C934&ssl=1,https://www.google.com/search?tbm=isch&q=Art+and+Walk+Karpathos+pebble+stones+workshop,https://artandwalk.com/,needs_confirmation,ready_with_provider_confirmation
exp_010,Botanical Clay Atelier,Workshops & Local Craft,Art and Walk,Volada / Pini,€48,~2 hours / confirm,Beginner-friendly,A botanical clay workshop where guests create a handmade piece inspired by local plants and textures.,,https://www.google.com/search?tbm=isch&q=Art+and+Walk+Karpathos+botanical+clay+workshop,https://artandwalk.com/,needs_confirmation,ready_with_provider_confirmation
